유형,기후_기준,기후_라벨,허가연도_기준,허가연도_라벨,벽체열관류율,지붕열관류율,바닥열관류율,창호열관류율,창호SHGC
비주거,중부1,0,1986년 이전,0,0.582,0.582,1.163,3.489,0.644
비주거,중부1,0,1987-2000년,1,0.582,0.407,0.582,3.373,0.634
비주거,중부1,0,2001-2007년,2,0.47,0.29,0.41,3.84,0.676
비주거,중부1,0,2008-2009년,3,0.47,0.29,0.41,3.4,0.636
비주거,중부1,0,2010-2012년,4,0.36,0.2,0.41,2.4,0.545
비주거,중부1,0,2013-2017년,5,0.27,0.18,0.29,2.1,0.517
비주거,중부1,0,현행법규기준(벽체),wall1,0.17,0.15,0.17,#N/A,#N/A
비주거,중부1,0,현행법규에서 20% 강화 (벽체),wall2,0.136,0.12,0.136,#N/A,#N/A
비주거,중부1,0,1등급 (창호),win1,#N/A,#N/A,#N/A,0.9,0.408
비주거,중부1,0,2등급 (창호),win2,#N/A,#N/A,#N/A,1.2,0.435
비주거,중부1,0,현행법규기준(창호),win3,#N/A,#N/A,#N/A,1.3,0.444
비주거,중부2,1,1986년 이전,0,0.582,0.582,1.163,3.489,0.644
비주거,중부2,1,1987-2000년,1,0.582,0.407,0.582,3.373,0.634
비주거,중부2,1,2001-2007년,2,0.47,0.29,0.41,3.84,0.676
비주거,중부2,1,2008-2009년,3,0.47,0.29,0.41,3.4,0.636
비주거,중부2,1,2010-2012년,4,0.36,0.2,0.41,2.4,0.545
비주거,중부2,1,2013-2017년,5,0.27,0.18,0.29,2.1,0.517
비주거,중부2,1,현행법규기준(벽체),wall1,0.24,0.15,0.2,#N/A,#N/A
비주거,중부2,1,현행법규에서 20% 강화 (벽체),wall2,0.192,0.12,0.16,#N/A,#N/A
비주거,중부2,1,1등급 (창호),win1,#N/A,#N/A,#N/A,0.9,0.408
비주거,중부2,1,2등급 (창호),win2,#N/A,#N/A,#N/A,1.2,0.435
비주거,중부2,1,현행법규기준(창호),win3,#N/A,#N/A,#N/A,1.5,0.463
비주거,남부,2,1986년 이전,0,0.582,0.582,1.163,3.489,0.644
비주거,남부,2,1987-2000년,1,0.756,0.523,0.756,3.605,0.655
비주거,남부,2,2001-2007년,2,0.58,0.35,0.47,4.19,0.708
비주거,남부,2,2008-2009년,3,0.58,0.35,0.47,3.8,0.673
비주거,남부,2,2010-2012년,4,0.45,0.24,0.41,2.7,0.572
비주거,남부,2,2013-2017년,5,0.34,0.22,0.33,2.4,0.545
비주거,남부,2,현행법규기준(벽체),wall1,0.32,0.18,0.25,#N/A,#N/A
비주거,남부,2,현행법규에서 20% 강화 (벽체),wall2,0.256,0.144,0.2,#N/A,#N/A
비주거,남부,2,1등급 (창호),win1,#N/A,#N/A,#N/A,0.9,0.408
비주거,남부,2,2등급 (창호),win2,#N/A,#N/A,#N/A,1.2,0.435
비주거,남부,2,현행법규기준(창호),win3,#N/A,#N/A,#N/A,1.8,0.49
비주거,제주,3,1986년 이전,0,0.582,0.582,1.163,3.489,0.644
비주거,제주,3,1987-2000년,1,1.163,0.756,1.163,5.815,0.857
비주거,제주,3,2001-2007년,2,0.76,0.41,0.52,5.23,0.803
비주거,제주,3,2008-2009년,3,0.76,0.41,0.52,4.4,0.727
비주거,제주,3,2010-2012년,4,0.58,0.29,0.41,3.4,0.636
비주거,제주,3,2013-2017년,5,0.44,0.28,0.39,3,0.6
비주거,제주,3,현행법규기준(벽체),wall1,0.41,0.25,0.33,#N/A,#N/A
비주거,제주,3,현행법규에서 20% 강화 (벽체),wall2,0.328,0.2,0.264,#N/A,#N/A
비주거,제주,3,1등급 (창호),win1,#N/A,#N/A,#N/A,0.9,0.408
비주거,제주,3,2등급 (창호),win2,#N/A,#N/A,#N/A,1.2,0.435
비주거,제주,3,현행법규기준(창호),win3,#N/A,#N/A,#N/A,2.2,0.526
주거,중부1,0,1986년 이전,0,0.582,0.582,1.163,3.489,0.644
주거,중부1,0,1987-2000년,1,0.465,0.407,0.582,3.373,0.634
주거,중부1,0,2001-2007년,2,0.35,0.29,0.35,3.84,0.676
주거,중부1,0,2008-2009년,3,0.35,0.29,0.35,3,0.6
주거,중부1,0,2010-2012년,4,0.27,0.2,0.3,2.1,0.517
주거,중부1,0,2013-2017년,5,0.27,0.18,0.23,1.5,0.463
주거,중부1,0,현행법규기준(벽체),wall1,0.15,0.15,0.15,#N/A,#N/A
주거,중부1,0,현행법규에서 20% 강화 (벽체),wall2,0.12,0.12,0.12,#N/A,#N/A
주거,중부1,0,1등급 (창호),win1,#N/A,#N/A,#N/A,0.9,0.408
주거,중부1,0,2등급 (창호),win2,#N/A,#N/A,#N/A,1.2,0.435
주거,중부1,0,현행법규기준(창호),win3,#N/A,#N/A,#N/A,0.9,0.408
주거,중부2,1,1986년 이전,0,0.582,0.582,1.163,3.489,0.644
주거,중부2,1,1987-2000년,1,0.465,0.407,0.582,3.373,0.634
주거,중부2,1,2001-2007년,2,0.35,0.29,0.35,3.84,0.676
주거,중부2,1,2008-2009년,3,0.35,0.29,0.35,3,0.6
주거,중부2,1,2010-2012년,4,0.27,0.2,0.3,2.1,0.517
주거,중부2,1,2013-2017년,5,0.27,0.18,0.23,1.5,0.463
주거,중부2,1,현행법규기준(벽체),wall1,0.17,0.15,0.17,#N/A,#N/A
주거,중부2,1,현행법규에서 20% 강화 (벽체),wall2,0.136,0.12,0.136,#N/A,#N/A
주거,중부2,1,1등급 (창호),win1,#N/A,#N/A,#N/A,0.9,0.408
주거,중부2,1,2등급 (창호),win2,#N/A,#N/A,#N/A,1.2,0.435
주거,중부2,1,현행법규기준(창호),win3,#N/A,#N/A,#N/A,1,0.417
주거,남부,2,1986년 이전,0,0.582,0.582,1.163,3.489,0.644
주거,남부,2,1987-2000년,1,0.698,0.523,0.756,3.605,0.655
